alpha,beta,A,omega
1.267732437050385,0.16727468543040275,1.0,1.1165384553984148
1.925695544488903,0.29068620294988573,1.0,1.3719679052183953
0.7162394190794505,0.21438690659007612,1.0,0.7869084797861384
1.9229741707058658,0.16811531032851137,0.5,1.3866473601242955
0.9677471780157282,0.14446575518954835,1.0,0.972874730608437
1.1349896734588634,0.14525571201077006,0.5,1.0652494553220428
1.7415538907306627,0.20777905085149725,1.0,1.310878552800719
1.1137987045537419,0.07800655694502558,0.5,1.0553344313679722
0.5413386698646026,0.15238702373796748,1.0,0.6936807476334688
1.6302696630122098,0.20565204337607465,0.5,1.2766926899319424
0.9945975747486382,0.0777015677196889,0.5,0.9972572332628497
1.6826430551426066,0.12693540035369566,1.0,1.2939489618858353
0.9547922439374674,0.08979643740281473,1.5,0.8918346935348401
1.1802468342209773,0.025276160267968157,0.5,1.0863885824201698
0.7010625458707471,0.19040601508302452,0.5,0.8368981424816756
1.1046694796706937,0.19227080435218136,0.5,1.0508313290715154
1.625547008945079,0.12487087415654761,1.5,1.21823396877601
1.2277864616474525,0.014461453146386635,1.5,1.107329966414844
1.971105799701858,0.09778502108063451,1.0,1.4025099990553465
1.5871849111603005,0.05683123392128551,2.0,1.1836150679728026
1.3118402833211513,0.11475843280204291,1.5,1.0686959538593697
0.7409780131626903,0.10995564831008747,0.5,0.8606814794352994
1.954888119824199,0.08045860559097136,1.5,1.3850686477364995
0.6737984187061554,0.032450989529639616,1.0,0.8200544423932248
1.4352346333062507,0.2584406241114085,0.5,1.1977670252032497
1.665024671513447,0.10146153904526733,1.0,1.288313863021473
1.4195049515795608,0.07025756797482549,1.0,1.1902045404043418
1.875946557186354,0.15148484128733683,1.0,1.365726414455582
0.5593893149963043,0.1501912532782438,1.0,0.7109941242254159
1.1890038243281056,0.22822636286662965,1.0,1.0685496325975692
1.4619922537090624,0.17223997201954344,1.0,1.2012866391277217
1.389411527156426,0.2949892617769752,0.5,1.1783951078259896
0.8901461716058348,0.12192225290419288,0.5,0.9433643645031385
1.7598222815471132,0.26684993382411326,1.0,1.3113917959906152
1.264243822282264,0.20026238384913025,0.5,1.124208097462102
1.2663333266997996,0.2756817810066083,1.0,1.0943006255271601
1.6295453115532668,0.11282462159733393,1.5,1.2340953771292398
1.7294400786789155,0.11710481929776893,1.5,1.2738968599685554
1.6806454123322014,0.28640560193447784,1.0,1.2768940675021643
1.703546241701795,0.14091216903229623,1.5,1.2325031256237926
1.7828404614306053,0.1605486389185547,1.0,1.3304011300894711
1.7919252442665026,0.06321355278311265,1.5,1.3297416909845057
1.8148056446248708,0.07898257069947685,0.5,1.3471314224092272
1.2078645790381852,0.21409163402013426,1.0,1.0808695628640537
0.9110725829205775,0.06763442802284647,0.5,0.9544684917647958
0.5106377429047494,0.1725003355395298,1.0,0.6325709167773921
1.4685813433624217,0.2432147251806824,1.0,1.194809857604577
1.5798640752630395,0.19963044243850672,1.0,1.2474037281969623
1.7533538247504112,0.1868291579838818,1.5,1.1009117737049956
0.9228167410468132,0.08474267537781584,1.5,0.8841500609370864
0.8228272507444604,0.04478143089781814,0.5,0.9070815916918419
1.4589970700998818,0.01983385642656276,1.5,1.2068274582809804
1.7075822497175146,0.023438627134831032,2.0,1.299483672777616
1.9455063092674563,0.07721111355395291,1.5,1.382772466082905
0.7257872456317662,0.17172797694052877,1.0,0.8226310522245307
1.8420737932942601,0.06918868994259449,2.0,1.2606666037310466
1.134075360418156,0.09777927021656178,1.0,1.06142033150006
1.3842530931260721,0.1437628743188126,1.5,1.011128363008075
0.5367360162400447,0.24169324667220524,0.5,0.7316388733349152
1.5101898307294084,0.20021945318002246,1.0,1.2185300991953902
1.8786329294507338,0.02186260394476916,1.0,1.3705581735407237
1.7402379943350816,0.14964050885929447,1.5,1.235861197803627
