alpha,beta,omega,split
1.4554425309821815,0.013772225278716733,1.2102630255706808,train
0.9046800706458055,0.25005124675103213,1.0287029946564343,test
0.5614602859042921,0.1539105599989677,0.8098890389437391,train
0.5247914532927936,0.13641623901306082,0.7798991715737326,test
1.7199053588004087,0.18452046753457085,1.3536311197610627,train
1.8691333659165825,0.2565081792339211,1.4241077535633526,train
1.4099536636507697,0.09446561019907242,1.2119553207526126,train
1.5942448414759975,0.08757992199753105,1.2846590260844983,test
1.3154374871981342,0.0243533202365269,1.15403473052039,train
1.9026086356816523,0.08725573718265434,1.3997969292261718,train
1.7237803311822981,0.02920143597938124,1.3203844883188411,train
0.5041077502552221,0.022051961280427322,0.7200811493129387,test
1.786106414881354,0.17029186304100646,1.3745722001840175,train
0.5503783629581965,0.06331211734703082,0.7675329046838933,train
1.5944831696449162,0.031534739398972195,1.271081234889842,train
0.7634834309038385,0.27584727500986866,0.9655187621486485,train
1.7947683835248298,0.05313282881648076,1.3528210849715732,test
1.3121918303736375,0.03750092930995067,1.1563617081823245,train
0.9495678358060772,0.29149663691488875,1.0628522646995415,train
1.1340308317964878,0.20342041953147447,1.1231127412322806,train
0.5424795067181944,0.22046867208425103,0.8225750717903675,train
0.686424914749346,0.1733291587878567,0.8901218554855791,test
1.5059366220404455,0.03041301709485198,1.2354521692051044,test
1.4707842673613751,0.25414439971963787,1.2766988059830566,train
1.4230776672218808,0.13122841121952475,1.2258462778444497,train
1.075516331392825,0.12381566906909039,1.0729673444865344,train
1.9958149036838164,0.049239680761272886,1.4243366962546748,train
1.9712530081643451,0.042833766891071344,1.414199191329108,train
1.528312976721042,0.16145132054398653,1.2753810972170012,train
1.4756889144017244,0.17493564097504266,1.2581401726087997,test
1.5326700958564101,0.160418807396363,1.276825972092068,test
1.0833821359686557,0.18780615660672215,1.0959053416058198,train
0.7026447575336168,0.2645166042953576,0.9293628326069489,train
1.5822325102911226,0.15621940503392062,1.2950280994348284,train
1.2880314837135889,0.11995282682296186,1.166538550711986,train
0.9653628133384335,0.08440608374832403,1.0082711628514498,train
1.2287530382476837,0.09898552631192817,1.1353761427574547,train
1.8342317515235003,0.17263404547411992,1.392473385550812,train
1.9010652739343745,0.24065797893824556,1.431533886592331,train
1.0366927950636053,0.13792509868029149,1.0592275531346353,train
1.3572947460946414,0.021821074919498175,1.1713132109606053,test
